"Survey Type",Organization,Date,"Survey Year",Country,State,County,"Survey ID","MDMAP ID #","Transect ID #","Shoreline Name","Latitude Start","Longitude Start","Latitude End","Longitude End",Slope,Width,Length,"Start Time","End Time","Time of Low Tide","Database Season",Season,"Date of Previous Survey","Storm Activity","Current Weather","Number of Persons","Large Items?","Debris Behind Back Barrier?","Datasheet Version","# of Large Items",Notes,Photos,"Item Type",Subtype,Status,"Width (m)","Length (m)",Description,Photo?
Standing-Stock,"Katmai National Park",06-11-2012,"Year 1","United States",AK,"Kodiak Island Borough",121,32,9,"Katmai Bay",58.00138,-154.97287,58.00157,-154.97144,,136,100,"12:04 PM","12:14 PM",,Summer,spring,01-01-2000,unknown,"overcast, light SW breeze <5mph",3,yes,,1.0,1,"This is the first survey for this location. Date entered as 01-01-2000 as a date was required. 

184 meters were surveyed; 136 meters were below the first barrier and 48 meters were surveyed above the first barrier. The first barrier is a discontinuous vegetation line interupted by many lower wash zones. 

The location of the debris was not recorded as either above or below the first barrier for this survey; however, this was done at later dates.  Photos of debris allow for some distinctions to be made.  This information is written under the Debris Description section.",Yes,"Processed Lumber","Lumber/building material",stranded,0.15,0.61,"weathered piece of milled wood.",No
Standing-Stock,"Katmai National Park",06-11-2012,"Year 1","United States",AK,"Kodiak Island Borough",122,32,11,"Katmai Bay",58.00138,-154.97287,58.00157,-154.97144,,133,100,"12:19 PM","12:27 PM",,Summer,spring,01-01-2000,unknown,"overcast, light SW wind (<5mph)",3,yes,,1.0,1,"This is the first survey for this location. Date entered as 01-01-2000 as a date was required. 

178 meters were surveyed; 133 meters were below the first barrier and 45 meters were surveyed above the first barrier. The first barrier is a discontinuous vegetation line interupted by many lower wash zones. The location of the debris was not recorded as either above or below the first barrier for this survey; however, this was done at later dates. Photos of debris allow for some distinctions to be made. This information is written under the Debris Description section.",Yes,"Processed Lumber","Lumber/building material",stranded,0.08,0.84,"piece of treated, milled wood.  ",No
Accumulation,"Sonoma Coast Surfrider",08-24-2012,"Year 1","United States",CA,Sonoma,125,24,,"Doran Beach, Bodega Bay",38.310367,-123.025117,38.310867,-123.026083,,30,100,"12:00 PM","01:15 PM",,Summer,Summer,07-24-2012,none,"fog, sun 90% cloud cover",1,yes,,1.0,1,"Photo ID#s: 3457, 3425, 3564, 3553, 3555, 3556, 3559, 0087",Yes,Metal,Other,stranded,0.30,0.30,"White with gauges. Photo ID #3564",No
Accumulation,"Sonoma Coast Surfrider",08-24-2012,"Year 1","United States",CA,Sonoma,125,24,,"Doran Beach, Bodega Bay",38.310367,-123.025117,38.310867,-123.026083,,30,100,"12:00 PM","01:15 PM",,Summer,Summer,07-24-2012,none,"fog, sun 90% cloud cover",1,yes,,1.0,1,"Photo ID#s: 3457, 3425, 3564, 3553, 3555, 3556, 3559, 0087",Yes,Plastic,"Hard Plastic",stranded,0.30,0.30,"Sign panel. White with red letters",No
Accumulation,"Sonoma Coast Surfrider",08-24-2012,"Year 1","United States",CA,Sonoma,125,24,,"Doran Beach, Bodega Bay",38.310367,-123.025117,38.310867,-123.026083,,30,100,"12:00 PM","01:15 PM",,Summer,Summer,07-24-2012,none,"fog, sun 90% cloud cover",1,yes,,1.0,1,"Photo ID#s: 3457, 3425, 3564, 3553, 3555, 3556, 3559, 0087",Yes,"Processed Lumber","Lumber/building material",stranded,0.1016,1.21,"8 boards from wrecked boat - Sea Biscuit",No
Accumulation,"Sonoma Coast Surfrider",08-24-2012,"Year 1","United States",CA,Sonoma,125,24,,"Doran Beach, Bodega Bay",38.310367,-123.025117,38.310867,-123.026083,,30,100,"12:00 PM","01:15 PM",,Summer,Summer,07-24-2012,none,"fog, sun 90% cloud cover",1,yes,,1.0,1,"Photo ID#s: 3457, 3425, 3564, 3553, 3555, 3556, 3559, 0087",Yes,Metal,Other,stranded,0.1016,0.30,"Garden trowel",No
Accumulation,"Sonoma Coast Surfrider",09-24-2012,"Year 1","United States",CA,Sonoma,126,24,,"Doran Beach, Bodega Bay",38.310367,-123.025117,38.310867,-123.026083,,110,100,"03:00 PM","04:30 PM",,Fall,Summer,08-24-2012,none,"fog, 100% cloud cover",1,yes,,1.0,1,"Photo ID#s: 1236, 1237, 1256, 1269",Yes,"Processed Lumber",Other,stranded,.2,.3,"Boat speaker",No
Accumulation,"Sonoma Coast Surfrider",09-24-2012,"Year 1","United States",CA,Sonoma,126,24,,"Doran Beach, Bodega Bay",38.310367,-123.025117,38.310867,-123.026083,,110,100,"03:00 PM","04:30 PM",,Fall,Summer,08-24-2012,none,"fog, 100% cloud cover",1,yes,,1.0,1,"Photo ID#s: 1236, 1237, 1256, 1269",Yes,Plastic,"Hard Plastic",stramded,.5,.3,"Plastic net from oyster bag",No
Accumulation,"Sonoma Coast Surfrider",09-24-2012,"Year 1","United States",CA,Sonoma,126,24,,"Doran Beach, Bodega Bay",38.310367,-123.025117,38.310867,-123.026083,,110,100,"03:00 PM","04:30 PM",,Fall,Summer,08-24-2012,none,"fog, 100% cloud cover",1,yes,,1.0,1,"Photo ID#s: 1236, 1237, 1256, 1269",Yes,"Processed Lumber","Lumber/building material",stranded,.8,.3,"Boat lumber",No
Accumulation,"Sonoma Coast Surfrider",09-24-2012,"Year 1","United States",CA,Sonoma,126,24,,"Doran Beach, Bodega Bay",38.310367,-123.025117,38.310867,-123.026083,,110,100,"03:00 PM","04:30 PM",,Fall,Summer,08-24-2012,none,"fog, 100% cloud cover",1,yes,,1.0,1,"Photo ID#s: 1236, 1237, 1256, 1269",Yes,"Processed Lumber","Lumber/building material",stranded,.2,.3,"Boat piece",No
Accumulation,"Sonoma Coast Surfrider",09-24-2012,"Year 1","United States",CA,Sonoma,126,24,,"Doran Beach, Bodega Bay",38.310367,-123.025117,38.310867,-123.026083,,110,100,"03:00 PM","04:30 PM",,Fall,Summer,08-24-2012,none,"fog, 100% cloud cover",1,yes,,1.0,1,"Photo ID#s: 1236, 1237, 1256, 1269",Yes,"Processed Lumber","Lumber/building material",stranded,.1,.3,"2 boat pieces",No
Accumulation,"Sonoma Coast Surfrider",10-25-2012,"Year 1","United States",CA,Sonoma,127,24,,"Doran Beach, Bodega Bay",38.310367,-123.025117,38.310867,-123.026083,,58,100,"02:00 PM","03:50 PM",,Fall,Fall,09-24-2012,none,"15% cloud cover, sun, wind",1,yes,,1.0,1,"Photo ID #s: 2008, 2011",Yes,"Processed Lumber","Lumber/building material",stranded,0.25,0.40,"Vessel lumber",No
Accumulation,"Sonoma Coast Surfrider",10-25-2012,"Year 1","United States",CA,Sonoma,127,24,,"Doran Beach, Bodega Bay",38.310367,-123.025117,38.310867,-123.026083,,58,100,"02:00 PM","03:50 PM",,Fall,Fall,09-24-2012,none,"15% cloud cover, sun, wind",1,yes,,1.0,1,"Photo ID #s: 2008, 2011",Yes,Plastic,"Hard Plastic",stranded,1.21,0.60,"Commercial size plastic popcorn bag.",No
Accumulation,"Sonoma Coast Surfrider",10-25-2012,"Year 1","United States",CA,Sonoma,127,24,,"Doran Beach, Bodega Bay",38.310367,-123.025117,38.310867,-123.026083,,58,100,"02:00 PM","03:50 PM",,Fall,Fall,09-24-2012,none,"15% cloud cover, sun, wind",1,yes,,1.0,1,"Photo ID #s: 2008, 2011",Yes,Rubber,Other,stranded,0.02,0.45,"Bungee cord with hooks",No
Accumulation,"Sonoma Coast Surfrider",10-25-2012,"Year 1","United States",CA,Sonoma,127,24,,"Doran Beach, Bodega Bay",38.310367,-123.025117,38.310867,-123.026083,,58,100,"02:00 PM","03:50 PM",,Fall,Fall,09-24-2012,none,"15% cloud cover, sun, wind",1,yes,,1.0,1,"Photo ID #s: 2008, 2011",Yes,"Processed Lumber","Lumber/building material",stranded,0.03,0.45,"Vessel lumber - Sea Biscuit",No
Accumulation,"Sonoma Coast Surfrider",10-25-2012,"Year 1","United States",CA,Sonoma,127,24,,"Doran Beach, Bodega Bay",38.310367,-123.025117,38.310867,-123.026083,,58,100,"02:00 PM","03:50 PM",,Fall,Fall,09-24-2012,none,"15% cloud cover, sun, wind",1,yes,,1.0,1,"Photo ID #s: 2008, 2011",Yes,Plastic,"Foam Plastic",stranded,0.20,1.82,"Fishing float and plastic rope",No
Standing-Stock,"Katmai National Park",07-17-2012,"Year 1","United States",AK,"Kodiak Island Borough",130,32,18,"Katmai Bay",58.00138,-154.97287,58.00157,-154.97144,,115,100,"2:07 PM","2:19 PM",,Summer,summer,06-11-2012,unknown,"overcast, calm",2,yes,,1.0,1,"135 meters were surveyed; 115 meters were below the first barrier and 20 meters were surveyed above the first barrier. The first barrier is a discontinuous vegetation line interupted by many lower wash zones. The location of the debris was recorded as either above or below the first barrier for this survey. Since the first barrier is discontinuous, above the first barrier is further identified as being in the vegetation or in the wash zone where photos allow for this distinction to be made. This information is written under the Debris Description section.",Yes,Plastic,"Foam Plastic",stranded,0.21,0.42,"square, flat piece of foamed plastic",No
Standing-Stock,"Katmai National Park",07-17-2012,"Year 1","United States",AK,"Kodiak Island Borough",131,32,19,"Katmai Bay",58.00138,-154.97287,58.00157,-154.97144,,118,100,"2:20 PM","2:29 PM",,Summer,summer,06-11-2012,unknown,"overcast, calm",2,yes,,1.0,1,"135 meters were surveyed; 118 meters were below the first barrier and 17 meters were surveyed above the first barrier. The first barrier is a discontinuous vegetation line interupted by many lower wash zones. The location of the debris was recorded as either above or below the first barrier for this survey. Since the first barrier is discontinuous, above the first barrier is further identified as being in the vegetation or in the wash zone where photos allow for this distinction to be made. This information is written under the Debris Description section.",Yes,Plastic,"Hard Plastic",stranded,0.22,0.3,"piece of bucket straded below first barrier.  partially covered in pumice.",No
Standing-Stock,"Katmai National Park",07-17-2012,"Year 1","United States",AK,"Kodiak Island Borough",131,32,19,"Katmai Bay",58.00138,-154.97287,58.00157,-154.97144,,118,100,"2:20 PM","2:29 PM",,Summer,summer,06-11-2012,unknown,"overcast, calm",2,yes,,1.0,1,"135 meters were surveyed; 118 meters were below the first barrier and 17 meters were surveyed above the first barrier. The first barrier is a discontinuous vegetation line interupted by many lower wash zones. The location of the debris was recorded as either above or below the first barrier for this survey. Since the first barrier is discontinuous, above the first barrier is further identified as being in the vegetation or in the wash zone where photos allow for this distinction to be made. This information is written under the Debris Description section.",Yes,"Processed Lumber","Lumber/building material",stranded,0.14,0.67,"stained piece of wood",No
Standing-Stock,"Katmai National Park",07-17-2012,"Year 1","United States",AK,"Kodiak Island Borough",131,32,19,"Katmai Bay",58.00138,-154.97287,58.00157,-154.97144,,118,100,"2:20 PM","2:29 PM",,Summer,summer,06-11-2012,unknown,"overcast, calm",2,yes,,1.0,1,"135 meters were surveyed; 118 meters were below the first barrier and 17 meters were surveyed above the first barrier. The first barrier is a discontinuous vegetation line interupted by many lower wash zones. The location of the debris was recorded as either above or below the first barrier for this survey. Since the first barrier is discontinuous, above the first barrier is further identified as being in the vegetation or in the wash zone where photos allow for this distinction to be made. This information is written under the Debris Description section.",Yes,Plastic,"Plastic rope/net",stranded,0.02,0.72,"piece of nylon rope found in wash zone above first barrier",No
Standing-Stock,"Katmai National Park",07-17-2012,"Year 1","United States",AK,"Kodiak Island Borough",131,32,19,"Katmai Bay",58.00138,-154.97287,58.00157,-154.97144,,118,100,"2:20 PM","2:29 PM",,Summer,summer,06-11-2012,unknown,"overcast, calm",2,yes,,1.0,1,"135 meters were surveyed; 118 meters were below the first barrier and 17 meters were surveyed above the first barrier. The first barrier is a discontinuous vegetation line interupted by many lower wash zones. The location of the debris was recorded as either above or below the first barrier for this survey. Since the first barrier is discontinuous, above the first barrier is further identified as being in the vegetation or in the wash zone where photos allow for this distinction to be made. This information is written under the Debris Description section.",Yes,"Processed Lumber","Lumber/building material",stranded,0.09,0.91,"piece of milled wood",No
Standing-Stock,"Katmai National Park",08-28-2012,"Year 1","United States",AK,"Kodiak Island Borough",133,32,11,"Katmai Bay",58.00138,-154.97287,58.00157,-154.97144,,106,100,"11:40 AM","11:51 AM",,Summer,summer,07-17-2012,unknown,"sunny, wind speed/direction not recorded",3,yes,,1.0,1,"176 meters were surveyed; 106 meters were below the first barrier and 70 meters were surveyed above the first barrier. The first barrier is a discontinuous vegetation line interupted by many lower wash zones. The location of the debris was recorded as either above or below the first barrier for this survey. Since the first barrier is discontinuous, above the first barrier is further identified as being in the vegetation or in the wash zone where photos allow for this distinction to be made. This information is written under the Debris Description section.",Yes,"Processed Lumber","Lumber/building material",stranded,0.08,0.78,"piece of milled wood",No
Standing-Stock,"Katmai National Park",08-28-2012,"Year 1","United States",AK,"Kodiak Island Borough",133,32,11,"Katmai Bay",58.00138,-154.97287,58.00157,-154.97144,,106,100,"11:40 AM","11:51 AM",,Summer,summer,07-17-2012,unknown,"sunny, wind speed/direction not recorded",3,yes,,1.0,1,"176 meters were surveyed; 106 meters were below the first barrier and 70 meters were surveyed above the first barrier. The first barrier is a discontinuous vegetation line interupted by many lower wash zones. The location of the debris was recorded as either above or below the first barrier for this survey. Since the first barrier is discontinuous, above the first barrier is further identified as being in the vegetation or in the wash zone where photos allow for this distinction to be made. This information is written under the Debris Description section.",Yes,"Processed Lumber","Lumber/building material",stranded,0.02,1.27,"piece of milled wood",No
Standing-Stock,"Katmai National Park",08-28-2012,"Year 1","United States",AK,"Kodiak Island Borough",134,32,16,"Katmai Bay",58.00138,-154.97287,58.00157,-154.97144,,126,100,"11:57 AM","12:05 PM",,Summer,summer,07-17-2012,unknown,"sunny, windy (wind speed and direction not recorded)",3,yes,,1.0,1,"198 meters were surveyed; 126 meters were below the first barrier and 72 meters were surveyed above the first barrier. The first barrier is a discontinuous vegetation line interupted by many lower wash zones. The location of the debris was recorded as either above or below the first barrier for this survey. Since the first barrier is discontinuous, above the first barrier is further identified as being in the vegetation or in the wash zone where photos allow for this distinction to be made. This information is written under the Debris Description section.",Yes,"Processed Lumber","Lumber/building material",stranded,0.1,1.07,"milled wood with nail rust marks.",No
Standing-Stock,"Katmai National Park",08-28-2012,"Year 1","United States",AK,"Kodiak Island Borough",135,32,18,"Katmai Bay",58.00138,-154.97287,58.00157,-154.97144,,116,100,"12:06 PM","12:20 PM",,Summer,summer,07-17-2012,unknown,"sunny, windy (wind direction and speed not recorded)",3,yes,,1.0,1,"206 meters were surveyed; 116 meters were below the first barrier and 90 meters were surveyed above the first barrier. The first barrier is a discontinuous vegetation line interupted by many lower wash zones. The location of the debris was recorded as either above or below the first barrier for this survey. Since the first barrier is discontinuous, above the first barrier is further identified as being in the vegetation or in the wash zone where photos allow for this distinction to be made. This information is written under the Debris Description section.",Yes,Plastic,"Hard Plastic",stranded,0.19,0.42,"large and flat piece of foamed plastic.  This piece of debris was recorded in July survey. stranded and partially covered in pumice.",No
Standing-Stock,"Katmai National Park",08-28-2012,"Year 1","United States",AK,"Kodiak Island Borough",135,32,18,"Katmai Bay",58.00138,-154.97287,58.00157,-154.97144,,116,100,"12:06 PM","12:20 PM",,Summer,summer,07-17-2012,unknown,"sunny, windy (wind direction and speed not recorded)",3,yes,,1.0,1,"206 meters were surveyed; 116 meters were below the first barrier and 90 meters were surveyed above the first barrier. The first barrier is a discontinuous vegetation line interupted by many lower wash zones. The location of the debris was recorded as either above or below the first barrier for this survey. Since the first barrier is discontinuous, above the first barrier is further identified as being in the vegetation or in the wash zone where photos allow for this distinction to be made. This information is written under the Debris Description section.",Yes,"Processed Lumber","Lumber/building material",stranded,0.14,0.70,"stained piece of milled wood.  observed in July survey",No
Standing-Stock,"Katmai National Park",08-28-2012,"Year 1","United States",AK,"Kodiak Island Borough",135,32,18,"Katmai Bay",58.00138,-154.97287,58.00157,-154.97144,,116,100,"12:06 PM","12:20 PM",,Summer,summer,07-17-2012,unknown,"sunny, windy (wind direction and speed not recorded)",3,yes,,1.0,1,"206 meters were surveyed; 116 meters were below the first barrier and 90 meters were surveyed above the first barrier. The first barrier is a discontinuous vegetation line interupted by many lower wash zones. The location of the debris was recorded as either above or below the first barrier for this survey. Since the first barrier is discontinuous, above the first barrier is further identified as being in the vegetation or in the wash zone where photos allow for this distinction to be made. This information is written under the Debris Description section.",Yes,Plastic,"Plastic rope/net",stranded,0.01,0.79,"rope, folded and tied in 1/2.  This item was recorded in July survey.",No
Standing-Stock,"Katmai National Park",08-28-2012,"Year 1","United States",AK,"Kodiak Island Borough",135,32,18,"Katmai Bay",58.00138,-154.97287,58.00157,-154.97144,,116,100,"12:06 PM","12:20 PM",,Summer,summer,07-17-2012,unknown,"sunny, windy (wind direction and speed not recorded)",3,yes,,1.0,1,"206 meters were surveyed; 116 meters were below the first barrier and 90 meters were surveyed above the first barrier. The first barrier is a discontinuous vegetation line interupted by many lower wash zones. The location of the debris was recorded as either above or below the first barrier for this survey. Since the first barrier is discontinuous, above the first barrier is further identified as being in the vegetation or in the wash zone where photos allow for this distinction to be made. This information is written under the Debris Description section.",Yes,"Processed Lumber","Lumber/building material",stranded,0.09,0.91,"piece of lumber.  Found in July survey.",No
Accumulation,"Redfish Rocks",12-11-2012,"Year 1","United States",OR,Curry,136,11,,"Rocky Point",42.7149,-124.4621,42.7139,-124.462,,48,102,"02:30 PM","03:30 PM",,Winter,Winter,11-12-2012,"12-3&4-2012 rains and high winds at","Sunny, blue skies, 15% cloud cover.  Wind of 15mph.",8,yes,,1.0,1,"Beautiful day!  Great volunteers! No evidence of prior clean ups no issues to report.",Yes,Plastic,"Hard Plastic","Buried ",1,1,"Fishing rope tangled with many other types of rope.  Half sunk in sand.  Could not remove.  Took GPS way point and photo.  Width and length are defaulted to 1 since actual measurements vary.",No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",07-24-2012,"Year 1","United States",CA,Marin,141,15,1,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,49.8,100,"8:52 am","9:42 am",,Summer,summer,07-24-2012,none,"overcast, fog, moderate wind",0,yes,,1.0,1,,No,Plastic,"Plastic rope/net","on surface",2,10,"correlates to photo taken in transect",No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",07-24-2012,"Year 1","United States",CA,Marin,142,15,6,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,47,100,"8:52 am","9:42 am",,Summer,summer,07-24-2012,none,"overcast, fog, moderate wind",0,yes,,1.0,1,,No,Plastic,"Plastic rope/net","half buried",.01,.5,,No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",07-22-2012,"Year 1","United States",CA,Marin,150,14,6,"South Beach, Point Reyes National Seashore",38.05476,-122.98576,38.05578,-122.98581,,20,100,"8:25 am","9:25 am",,Summer,summer,07-22-2012,none,"light breeze",0,yes,,1.0,1,,No,"Processed Lumber","Lumber/building material",surface,.3,.3,,Yes
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",07-22-2012,"Year 1","United States",CA,Marin,151,14,11,"South Beach, Point Reyes National Seashore",38.05476,-122.98576,38.05578,-122.98581,,22.7,100,"8:25 am","9:25 am",,Summer,summer,07-22-2012,none,"light breeze",0,yes,,1.0,1,,No,Plastic,"Foam Plastic","on surface",.2,.4,,Yes
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",08-18-2012,"Year 1","United States",CA,Marin,157,16,20,"Limantour, Point Reyes National Seashore",38.02745,-122.89405,38.02715,-122.89546,,69,100,"7:30 am","8:31 am",,Summer,summer,07-21-2012,none,"overcast, breezy",0,yes,,1.0,1,,No,"Processed Lumber","Lumber/building material","on surface",.1,1.3,,No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",08-18-2012,"Year 1","United States",CA,Marin,158,16,16,"Limantour, Point Reyes National Seashore",38.02745,-122.89405,38.02715,-122.89546,,67,100,"7:30 am","8:31 am",,Summer,summer,07-21-2012,none,"overcast, breezy",0,yes,,1.0,1,"small hard plastic smaller than 1/2 inch found in transect",No,"Processed Lumber","Lumber/building material","on surface",.1,1,,No
