Survey Type,Organization,Date,Survey Year,Country,State,County,Survey ID,MDMAP ID #,Transect ID,Shoreline Name,Latitude Start,Longitude Start,Latitude End,Longitude End,Slope,Width,Length,Start Time,End Time,Time of Low Tide,Database Season,Season,Storm Activity,Current Weather,Number of Persons Assisting,Large Items?,Debris Behind Back Barrier?,Datasheet Version,Notes,Photos?,Plastic,Hard Plastic Fragments,Foamed Plastic Fragments,Filmed Plastic Fragments,Food Wrappers,Plastic Beverage Bottles,Other Jugs/Containers,Bottle/Container Caps,Cigar Tips,Cigarettes,Disposable Cigarette Lighters,6-Pack Rings,Bags,Plastic Rope/Net,Buoys & Floats,Fishing Lures & Line,Cups,Plastic Utensils,Straws,Balloons Mylar,Personal Care Products,Plastic Other,Metal,Aluminum/Tin Cans,Aerosol Cans,Metal Fragments,Metal Other,Glass,Glass Beverage Bottles,Jars,Glass Fragments,Glass Other,Rubber,Flip Flops,Rubber Gloves,Tires,Balloons Latex,Rubber Fragments,Rubber Other,Processed Lumber,Cardboard Cartons,Paper and Cardboard,Paper Bags,Lumber/Building Material,Processed Lumber Other,Cloth/Fabric,Clothing & Shoes,Gloves (non-rubber),Towels/Rags,Rope/Net Pieces (non-nylon),Fabric Pieces,Cloth/Fabric Other,Unclassified,Total,Debris Description
Standing-Stock,Heal the Bay,7/10/12,Year 1,United States,CA,Los Angeles,28,12,7,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,18.3,100,7:54 AM,8:54 AM,,Summer,Summer,None,"Clear, sunny",2,no,,1,No end time recorded,No,11,2,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,1,47,
Standing-Stock,Heal the Bay,7/10/12,Year 1,United States,CA,Los Angeles,29,12,1,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,18.3,100,12:00 AM,12:00 AM,,Summer,Summer,None,"Clear, sunny",2,no,,1,No start or end times recorded.,No,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
Standing-Stock,Heal the Bay,7/13/12,Year 1,United States,CA,Los Angeles,30,13,1,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,15.24,100,9:54 AM,9:59 AM,,Summer,Summer,Rained the night before,"Cloudy, calm",2,no,,1,Dead pelican,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
Standing-Stock,Heal the Bay,7/13/12,Year 1,United States,CA,Los Angeles,31,13,5,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,15.113,100,10:04 AM,10:14 AM,,Summer,Smmer,Slight rain,cloudy,2,no,,1,,Yes,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,
Standing-Stock,Heal the Bay,7/13/12,Year 1,United States,CA,Los Angeles,32,13,8,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,11.5824,100,10:03 AM,10:15 AM,,Summer,Summer,Not recorded,Cloudy,2,no,,1,,Yes,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,
Standing-Stock,Heal the Bay,7/13/12,Year 1,United States,CA,Los Angeles,33,13,10,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,15.24,100,10:20 AM,10:26 AM,,Summer,Summer,Rained last night,Cloudy,2,no,,1,,Yes,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,"Other Plastic - balloon string, plastic strap, plastic tape Other Metal - spark plug Unclassified - shark egg, concrete fragment"
Standing-Stock,Heal the Bay,8/10/12,Year 1,United States,CA,Los Angeles,34,13,8,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,12,100,10:52 AM,11:05 AM,,Summer,Summer,None,Sunny,2,no,,1,,Yes,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,"Unclassified - concrete slab, pipe"
Standing-Stock,Heal the Bay,8/10/12,Year 1,United States,CA,Los Angeles,35,13,9,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,13.7,100,11:06 AM,11:18 AM,,Summer,Summer,None,Sunny,2,no,,1,,Yes,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,"Unclassified - brick, asphalt"
Standing-Stock,Heal the Bay,8/10/12,Year 1,United States,CA,Los Angeles,36,13,16,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,14,100,11:23 AM,11:26 AM,,Summer,Summer,None,Sunny,2,no,,1,,Yes,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
Standing-Stock,Heal the Bay,8/10/12,Year 1,United States,CA,Los Angeles,37,13,18,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,10.4,100,11:27 AM,11:31 AM,,Summer,Summer,None,Sunny,2,no,,1,,Yes,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,Unclassified - brick
Standing-Stock,Heal the Bay,8/20/12,Year 1,United States,CA,Los Angeles,38,12,12,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,14,100,4:55 PM,5:05 PM,,Summer,Summer,None,Sunny,2,no,,1,No end time recorded.,No,12,1,0,6,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
Standing-Stock,Heal the Bay,8/20/12,Year 1,United States,CA,Los Angeles,39,12,5,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,14,100,4:31 PM,4:40 PM,,Summer,Summer,None,Sunny,2,no,,1,,No,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
Standing-Stock,Heal the Bay,8/20/12,Year 1,United States,CA,Los Angeles,40,12,7,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,14,100,4:42 PM,4:48 PM,,Summer,Summer,None,Sunny,2,no,,1,,No,14,2,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,
Standing-Stock,Heal the Bay,8/20/12,Year 1,United States,CA,Los Angeles,41,12,11,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,14,100,4:48 PM,4:54 PM,,Summer,Summer,None,Sunny,2,no,,1,,No,11,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Plastic other - Ribbon
Standing-Stock,BC Ministry of Environment,7/30/12,Year 1,Canada,BC,North Coast,43,19,4,West Campania Island - North Beach,53.0526,-129.4486,53.0533,-129.4496,,10,200,10:50 AM,10:55 AM,,Summer,Summer,15-25 Knots south previous day,"overcast, wind 10-15 kn",2,yes,,1,,No,5,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
Standing-Stock,BC Ministry of Environment,7/30/12,Year 1,Canada,BC,North Coast,44,19,9,West Campania Island - North Beach,53.0526,-129.4486,53.0533,-129.4496,,7,200,10:57 AM,11:00 AM,,Summer,summer,15-25 Knots south previous day,"overcast, wind 10-15 kn",2,no,,1,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Standing-Stock,BC Ministry of Environment,7/30/12,Year 1,Canada,BC,North Coast,45,19,15,West Campania Island - North Beach,53.0526,-129.4486,53.0533,-129.4496,,10,200,11:00 AM,11:03 AM,,Summer,Summer,15-25 Knots south previous day,"overcast, wind 10-15 kn",2,no,,1,,No,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
Standing-Stock,BC Ministry of Environment,7/30/12,Year 1,Canada,BC,North Coast,46,19,17,West Campania Island - North Beach,53.0526,-129.4486,53.0533,-129.4496,,7,200,11:03 AM,11:08 AM,,Summer,summer,15-25 Knots south previous day,"overcast, wind 10-15 kn",2,no,,1,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Standing-Stock,Heal the Bay,10/12/12,Year 1,United States,CA,Los Angeles,47,13,13,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,13.2,100,1:11 PM,1:14 PM,,Fall,Fall,Rained day before,Sunny,2,no,,1,"CCD site. 
MDP staff changed lat/longs to match site characterization, does not match this particular transect",Yes,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1 piece of asphalt
Standing-Stock,Heal the Bay,10/12/12,Year 1,United States,CA,Los Angeles,48,13,2,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,19.5,100,12:50 PM,12:53 PM,,Fall,Fall,Rained day before,Sunny,2,no,,1,"Coastal Cleanup Day site.  Site was cleaned on 9/15/12.
MDP staff changed lat/longs to match site characterization, does not match this particular transect",Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Other processed lumber - 1 tissue
Standing-Stock,Heal the Bay,10/12/12,Year 1,United States,CA,Los Angeles,49,13,5,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,50.6,100,1:00 PM,1:03 PM,,Fall,Fall,Rained day before,Sunny,2,no,,1,"Coastal Cleanup Day Site. Beach was cleaned on 09/15/12. MDP staff changed lat/longs to match site characterization, does not match this particular transect",Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Other - plastic: 1 piece of ribbon Other - metal: 1 bottle cap
Standing-Stock,Heal the Bay,10/12/12,Year 1,United States,CA,Los Angeles,50,13,9,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,50.3,100,1:05 PM,1:08 PM,,Fall,Fall,Rained day before,Sunny,2,no,,1,"MDP staff changed lat/longs to match site characterization, does not match this particular transect",Yes,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
Standing-Stock,Heal the Bay,10/11/12,Year 1,United States,CA,Los Angeles,51,12,8,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,24.4,100,2:12 PM,2:21 PM,,Fall,Fall,Rained the night before,"Sunny, breezy, 45% cloud cover",2,no,,1,MDP staff changed lat/long to match site char,Yes,8,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Other - plastic: 1 mesh filter
Standing-Stock,Heal the Bay,10/11/12,Year 1,United States,CA,Los Angeles,52,12,11,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,24.4,100,2:34 PM,2:36 PM,,Fall,Fall,Rained the night before,"Sunny, breezy, 45-50% cloud cover",2,no,,1,"MDP staff changed lat/longs to match site characterization, does not match this particular transect",Yes,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
Standing-Stock,Heal the Bay,10/11/12,Year 1,United States,CA,Los Angeles,53,12,10,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,24.375,100,2:27 PM,2:33 PM,,Fall,Fall,Rained the night before,"Sunny, breezy, 45-50% cloud cover",2,no,,1,"MDP staff changed lat/longs to match site characterization, does not match this particular transect",Yes,6,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
Standing-Stock,Heal the Bay,10/11/12,Year 1,United States,CA,Los Angeles,54,12,4,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,24.4,100,2:38 PM,2:43 PM,,Fall,Fall,Rained the night before,"sunny, breezy, 45-50% cloud cover",2,no,,1,"MDP staff changed lat/longs to match site characterization, does not match this particular transect",Yes,9,1,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Other - plastic: 1 piece of mesh
Standing-Stock,Katmai National Park,6/3/12,Year 1,United States,AK,Kodiak Island Borough,70,27,6,Swikshak,58.60049,-153.76366,58.60166,-153.76366,,302,100,7:56 PM,8:03 PM,,Summer,spring,unknown,"mostly cloudy, SW wind 5mph",2,no,,1,"This is the first survey for this location.  Date entered as 01-01-2000 as a date was required.

322 meters were surveyed; 302 meters were below the first barrier and 18 meters were surveyed above the first barrier.  

Catalogued debris was not identified as recorded above or below first barrier (this is done in later surveys); however, substrate as documented in photos has allowed for some distinctions to be made. This information is described in the Debris Description section.",Yes,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Only 2 pieces of styrofoam were found in the transect.  Both pieces were found below the first barrier.
Standing-Stock,Katmai National Park,6/3/12,Year 1,United States,AK,Kodiak Island Borough,71,27,12,Swikshak,58.60049,-153.76366,58.60166,-153.76366,,308,100,8:12 PM,8:20 PM,,Summer,spring,unknown,"mostly cloudy, SW wind 5mph",2,no,,1,"This is the first survey for this location. Date entered as 01-01-2000 as a date was required. 

324 meters were surveyed; 308 meters were below the first barrier and 16 meters were surveyed above the first barrier. 

Catalogued debris was not identified as recorded above or below first barrier (this is done in later surveys); however, substrate as documented in photos has allowed for some distinctions to be made. This information is described in the Debris Description section.

8/23/2013 - items found above the first barrier, previously included in overall count and in the large items section have been removed; debris above the first barrier is described in the debris notes section and may be included within the photos.",Yes,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,An unclassified item (a mini fridge door) was stranded above the first barrier and was 0.43m x 0.71m in size.  locations of debris: hard plastic found below first barrier; fridge door found above first barrier; foamed plastic unknown (no photo).
Standing-Stock,Katmai National Park,6/3/12,Year 1,United States,AK,Kodiak Island Borough,72,27,13,Swikshak,58.60049,-153.76366,58.60166,-153.76366,,308,100,8:21 PM,8:28 PM,,Summer,spring,unknown,"mostly cloudy, SW wind 5mph",2,no,,1,"This is the first survey for this location. Date entered as 01-01-2000 as a date was required. 

324 meters were surveyed; 308 meters were below the first barrier and 16 meters were surveyed above the first barrier. 

Catalogued debris was not identified as recorded above or below first barrier (this is done in later surveys); however, substrate as documented in photos has allowed for some distinctions to be made. This information is described in the Debris Description section.",Yes,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,debris found below first barrier
Standing-Stock,Heal the Bay,11/13/12,Year 1,United States,CA,Los Angeles,73,12,9,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,28,100,2:30 PM,2:37 PM,,Fall,Fall,None,"Sunny, 0% cloud cover, light breeze",2,no,,1,"Bad photo of transect.
MDP staff changed lat/longs to match site characterization, does not match this particular transect",Yes,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Metal other - tin can top
Standing-Stock,Heal the Bay,11/13/12,Year 1,United States,CA,Los Angeles,74,12,7,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,28,100,2:16 PM,2:23 PM,,Fall,fall,None,"Sunny, 0% cloud cover, light breeze",2,no,,1,"MDP staff changed lat/longs to match site characterization, does not match this particular transect",Yes,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Metal - other: Wire
Standing-Stock,Heal the Bay,11/13/12,Year 1,United States,CA,Los Angeles,75,12,3,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,28,100,2:07 PM,2:15 PM,,Fall,fall,none,"sunny, 0% cloud cover, light breeze",2,no,,1,"MDP staff changed lat/longs to match site characterization, does not match this particular transect",Yes,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
Standing-Stock,Heal the Bay,11/13/12,Year 1,United States,CA,Los Angeles,76,12,8,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,28,100,2:23 PM,2:29 PM,,Fall,fall,none,"sunny, 0% cloud cover, light breeze",2,no,,1,"Bad photo of transect. 
MDP staff changed lat/longs to match site characterization, does not match this particular transect",Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Fabric - other: vinyl fabric piece
Standing-Stock,Heal the Bay,11/9/12,Year 1,United States,CA,Los Angeles,77,13,2,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,17,100,1:10 PM,1:18 PM,,Fall,fall,storm day before (11/08/12),"sunny, but windy. White caps.",2,no,,1,"MDP staff changed lat/longs to match site characterization, does not match this particular transect",Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Plastic - other: Fish weight bag
Standing-Stock,Heal the Bay,11/9/12,Year 1,United States,CA,Los Angeles,78,13,3,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,15,100,1:20 PM,1:30 PM,,Fall,Fall,small storm day before (11/08/12),Sunny but windy. White caps.,2,no,,1,"MDP staff changed lat/longs to match site characterization, does not match this particular transect",Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,Plastic - other: Taiwanese (?) cigarette box with plastic cover (see photos).
Standing-Stock,Heal the Bay,11/9/12,Year 1,United States,CA,Los Angeles,79,13,6,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,14,100,1:33 PM,1:33 PM,,Fall,Fall,small storm day before (11/08/12),"Sunny, but windy.",2,no,,1,"MDP staff changed lat/longs to match site characterization, does not match this particular transect",Yes,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
