UniqueID,Dataset,Date,Year,Month,Day,Latitude 1,Longitude 1,Latitude 2,Longitude 2,Country,Total Area,Total Area Unit,Total Item Count,Plastic Raw Count,Cloth Raw Count,Rubber Raw Count,Processed Lumbar Raw Count,Metal Raw Count,Glass Raw Count,Other Raw Count,Fishing Gear Raw Count
26,Marine LitterWatch,20160319,2016,03,19,50.9613,1.8257400000000001,50.9613,1.8267400000000003,FR,69,meters,1776.0,1675.0,20.0,0.0,0.0,40.0,41.0,0.0,0
27,Marine LitterWatch,20150430,2015,04,30,48.5742,-4.66775,48.5742,-4.66675,FR,73,meters,212.0,125.0,12.0,1.0,0.0,34.0,40.0,0.0,0
28,Marine LitterWatch,20140510,2014,05,10,58.07645965,11.46957726,58.08162472,11.47487629,SE,653,meters,3300.0,3260.0,40.0,0.0,0.0,0.0,0.0,0.0,0
29,Marine LitterWatch,20170415,2017,04,15,47.35395734,8.550474341000001,47.3544311,8.55053981,CH,53,meters,257.0,180.0,2.0,2.0,35.0,12.0,24.0,2.0,0
30,Marine LitterWatch,20180131,2018,01,31,47.36357229,8.675699123,47.36384326,8.676283172,CH,53,meters,353.0,260.0,4.0,2.0,19.0,27.0,41.0,0.0,0
31,Marine LitterWatch,20180809,2018,08,09,44.178405,28.656671999999997,44.181090000000005,28.655829999999998,RO,302,meters,879.0,671.0,36.0,6.0,146.0,14.0,0.0,6.0,0
32,Marine LitterWatch,20190325,2019,03,25,53.55175306,-3.103213065,53.55821201,-3.102223183,UK,722,meters,2063.0,1917.0,36.0,16.0,8.0,22.0,64.0,0.0,0
33,Marine LitterWatch,20180427,2018,04,27,0.00033025599999999996,0.000131452,0.00033025599999999996,0.000131461,IT,100,meters,156.0,75.0,2.0,0.0,37.0,16.0,26.0,0.0,0
34,Marine LitterWatch,20160511,2016,05,11,48.78236264,-3.5785844780000002,48.78149599,-3.579024144,FR,102,meters,145.0,58.0,8.0,5.0,0.0,2.0,72.0,0.0,0
35,Marine LitterWatch,20170819,2017,08,19,47.04453213,8.418568937,47.04472764,8.418664934,CH,23,meters,8.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0
36,Marine LitterWatch,20170525,2017,05,25,48.49575412,27.07421579,47.66187645,8.971306721,DE,1335049,meters,21.0,17.0,1.0,0.0,0.0,0.0,3.0,0.0,0
37,Marine LitterWatch,20170324,2017,03,24,47.69224279,8.731163615,47.69396533,8.689735863,DE,3086,meters,54.0,38.0,0.0,1.0,2.0,5.0,8.0,0.0,0
38,Marine LitterWatch,20180524,2018,05,24,44.26533211,28.62191666,44.26903858,28.62185253,RO,412,meters,163.0,143.0,3.0,1.0,8.0,2.0,6.0,0.0,0
39,Marine LitterWatch,20180622,2018,06,22,55.67119801,12.04382643,55.67030767,12.04366129,DK,100,meters,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40,Marine LitterWatch,20171124,2017,11,24,47.59115102,7.587948481000001,47.59090377,7.58783016,DE,29,meters,198.0,118.0,0.0,0.0,20.0,50.0,10.0,0.0,0
41,Marine LitterWatch,20180414,2018,04,14,43.02536667,27.8888,43.02396667,27.88898333,BG,156,meters,741.0,669.0,47.0,0.0,0.0,10.0,15.0,0.0,0
42,Marine LitterWatch,20170424,2017,04,24,47.31242173,8.526254935,47.31196494,8.526473898999999,CH,53,meters,45.0,38.0,0.0,0.0,5.0,2.0,0.0,0.0,0
43,Marine LitterWatch,20170530,2017,05,30,47.4034956,8.477770133,47.40364429,8.478190512000001,CH,35,meters,38.0,30.0,0.0,0.0,3.0,5.0,0.0,0.0,0
44,Marine LitterWatch,20160621,2016,06,21,55.55767488,12.57666753,55.55761141,12.57508718,DK,99,meters,71.0,53.0,0.0,2.0,6.0,4.0,1.0,5.0,0
45,Marine LitterWatch,20180329,2018,03,29,47.40798906,8.409539782000001,47.40852153,8.409789939,CH,62,meters,92.0,45.0,5.0,0.0,9.0,16.0,17.0,0.0,0
46,Marine LitterWatch,20180304,2018,03,04,46.93102012,7.462960549,46.9311636,7.462813345,CH,19,meters,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
47,Marine LitterWatch,20180507,2018,05,07,0.00038070199999999996,0.000129096,0.00038070199999999996,0.000129105,IT,100,meters,638.0,570.0,2.0,4.0,3.0,29.0,30.0,0.0,0
48,Marine LitterWatch,20171130,2017,11,30,47.486216299999995,9.543909918999999,47.48593948,9.543766189,CH,32,meters,31.0,22.0,1.0,0.0,2.0,2.0,2.0,2.0,0
49,Marine LitterWatch,20140510,2014,05,10,36.78703145,-6.356390822000001,36.78330692,-6.362435776,ES,688,meters,2914.0,2542.0,258.0,0.0,46.0,28.0,40.0,0.0,0
50,Marine LitterWatch,20151021,2015,10,21,50.55702152,-2.4479996859999997,50.56091823,-2.449175666,UK,441,meters,1048.0,921.0,40.0,13.0,3.0,69.0,0.0,2.0,0
51,Marine LitterWatch,20150804,2015,08,04,43.77835953,28.58188921,43.75610959,28.57638704,RO,2511,meters,231.0,197.0,2.0,1.0,7.0,14.0,10.0,0.0,0
52,Marine LitterWatch,20170621,2017,06,21,47.58940625,7.587318067999999,47.58973545,7.587464405,DE,38,meters,150.0,107.0,0.0,2.0,28.0,12.0,1.0,0.0,0
53,Marine LitterWatch,20170828,2017,08,28,47.29856781,7.899466371,47.29864172,7.899623298,CH,14,meters,9.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,0
54,Marine LitterWatch,20170601,2017,06,01,47.19150123,8.618421357999999,47.19110211,8.618737454,CH,50,meters,15.0,8.0,0.0,0.0,6.0,0.0,0.0,1.0,0
55,Marine LitterWatch,20180228,2018,02,28,47.36357229,8.675699123,47.36384326,8.676283172,CH,53,meters,257.0,199.0,2.0,2.0,12.0,22.0,20.0,0.0,0
56,Marine LitterWatch,20170409,2017,04,09,47.38189811,8.53832789,47.38161864,8.538454926,CH,32,meters,79.0,27.0,1.0,1.0,7.0,12.0,31.0,0.0,0
57,Marine LitterWatch,20150329,2015,03,29,50.54423528,-3.4985252410000003,50.54138879,-3.4997995110000004,UK,329,meters,115.0,93.0,1.0,0.0,0.0,0.0,21.0,0.0,0
58,Marine LitterWatch,20180716,2018,07,16,45.53593545,13.60225756,45.53680532,13.60188741,SI,101,meters,674.0,614.0,3.0,1.0,16.0,10.0,29.0,1.0,0
59,Marine LitterWatch,20180920,2018,09,20,44.31021,28.63048,44.30936,28.63005,RO,100,meters,3163.0,2730.0,61.0,25.0,151.0,79.0,117.0,0.0,0
60,Marine LitterWatch,20180226,2018,02,26,47.58940625,7.587318067999999,47.58973545,7.587464405,DE,38,meters,31.0,26.0,0.0,0.0,3.0,1.0,1.0,0.0,0
61,Marine LitterWatch,20161010,2016,10,10,43.954879999999996,28.640459999999997,43.95399999999999,28.64006,RO,103,meters,3139.0,2390.0,31.0,21.0,489.0,101.0,106.0,1.0,0
62,Marine LitterWatch,20130920,2013,09,20,45.53773844,13.61093245,45.53828206,13.61198468,SI,102,meters,617.0,595.0,1.0,1.0,10.0,4.0,6.0,0.0,0
63,Marine LitterWatch,20170910,2017,09,10,47.04395301,8.417307579,47.04426291,8.418082376000001,CH,68,meters,74.0,32.0,0.0,2.0,0.0,2.0,38.0,0.0,0
64,Marine LitterWatch,20170712,2017,07,12,55.683035,11.99125,55.682251,11.99203,DK,100,meters,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0
65,Marine LitterWatch,20150505,2015,05,05,48.2405,-4.54547,48.2405,-4.54447,FR,74,meters,436.0,348.0,0.0,0.0,0.0,8.0,80.0,0.0,0
66,Marine LitterWatch,20171025,2017,10,25,47.21653324,7.7923040729999995,47.21640588,7.792293051000001,CH,14,meters,12.0,3.0,0.0,0.0,8.0,0.0,1.0,0.0,0
67,Marine LitterWatch,20170429,2017,04,29,47.54604972,7.62259813,47.54629724,7.622613867999999,CH,28,meters,40.0,31.0,0.0,0.0,4.0,0.0,5.0,0.0,0
68,Marine LitterWatch,20180124,2018,01,24,47.35395734,8.550474341000001,47.3544311,8.55053981,CH,53,meters,137.0,100.0,0.0,3.0,18.0,5.0,10.0,1.0,0
69,Marine LitterWatch,20180821,2018,08,21,37.58742356,-0.792793932,37.58739768,-0.792325796,ES,42,meters,158.0,128.0,8.0,0.0,17.0,5.0,0.0,0.0,0
70,Marine LitterWatch,20180105,2018,01,05,43.27004995,5.299507851,43.2695285,5.2995266260000005,FR,58,meters,652.0,564.0,22.0,0.0,0.0,0.0,66.0,0.0,0
71,Marine LitterWatch,20170413,2017,04,13,47.40566917,8.066017963,47.40528554,8.065563868,CH,55,meters,138.0,111.0,1.0,0.0,16.0,10.0,0.0,0.0,0
72,Marine LitterWatch,20150522,2015,05,22,44.9024,-1.21686,44.9024,-1.21586,FR,79,meters,248.0,228.0,1.0,0.0,0.0,6.0,13.0,0.0,0
73,Marine LitterWatch,20170630,2017,06,30,47.54604972,7.62259813,47.54629724,7.622613867999999,CH,28,meters,67.0,36.0,0.0,0.0,3.0,16.0,10.0,2.0,0
74,Marine LitterWatch,20180416,2018,04,16,43.954879999999996,28.640459999999997,43.95399999999999,28.64006,RO,103,meters,161.0,136.0,1.0,2.0,7.0,7.0,8.0,0.0,0
75,Marine LitterWatch,20150322,2015,03,22,42.7575,9.46545,42.7575,9.46645,FR,82,meters,89.0,58.0,4.0,1.0,0.0,16.0,10.0,0.0,0
76,Marine LitterWatch,20170724,2017,07,24,47.31242173,8.526254935,47.31196494,8.526473898999999,CH,53,meters,64.0,48.0,0.0,0.0,12.0,3.0,1.0,0.0,0
77,Marine LitterWatch,20180619,2018,06,19,37.05790689,15.292072400000002,37.05764826,15.29221123,IT,31,meters,1206.0,904.0,21.0,1.0,212.0,60.0,7.0,1.0,0
78,Marine LitterWatch,20170928,2017,09,28,47.37017566,8.867824888,47.37028189,8.867135058999999,CH,53,meters,9.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,0
79,Marine LitterWatch,20180203,2018,02,03,47.65583658,8.955316774,47.65394064,8.951153569,DE,375,meters,23.0,14.0,0.0,1.0,2.0,3.0,3.0,0.0,0
80,Marine LitterWatch,20170622,2017,06,22,47.29856781,7.899466371,47.29864172,7.899623298,CH,14,meters,7.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0
81,Marine LitterWatch,20150322,2015,03,22,48.8165,-3.4561800000000003,48.8165,-3.4551800000000004,FR,73,meters,49.0,41.0,0.0,0.0,0.0,5.0,3.0,0.0,0
82,Marine LitterWatch,20170611,2017,06,11,47.52407261,9.198334671,47.52438768,9.197132864,CH,96,meters,108.0,71.0,1.0,0.0,7.0,28.0,1.0,0.0,0
83,Marine LitterWatch,20160414,2016,04,14,55.660566,12.056157,55.66144379,12.055791000000001,DK,100,meters,26.0,16.0,1.0,3.0,4.0,0.0,1.0,1.0,0
84,Marine LitterWatch,20160812,2016,08,12,52.16754401,4.3520443669999995,52.16826575,4.352690664,NL,91,meters,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0
85,Marine LitterWatch,20150510,2015,05,10,38.0740119,23.81457003,38.07460311,23.81500992,GR,76,meters,49.0,45.0,0.0,0.0,0.0,4.0,0.0,0.0,0
86,Marine LitterWatch,20170418,2017,04,18,47.5036817,7.607008497000001,47.50400169,7.607005387999999,CH,36,meters,178.0,142.0,0.0,2.0,10.0,24.0,0.0,0.0,0
87,Marine LitterWatch,20170724,2017,07,24,47.38189811,8.53832789,47.38161864,8.538454926,CH,32,meters,57.0,33.0,2.0,0.0,13.0,7.0,2.0,0.0,0
88,Marine LitterWatch,20131021,2013,10,21,56.40194108,10.92213299,56.38664298,10.91630801,DK,1740,meters,637.0,503.0,0.0,21.0,30.0,69.0,13.0,1.0,0
89,Marine LitterWatch,20170411,2017,04,11,44.19412,28.655379999999997,44.19321,28.65575,RO,105,meters,1974.0,1893.0,5.0,0.0,32.0,36.0,6.0,2.0,0
90,Marine LitterWatch,20180205,2018,02,05,47.40291945,8.605145777,47.40278261,8.604494396,CH,51,meters,99.0,89.0,0.0,0.0,9.0,1.0,0.0,0.0,0
91,Marine LitterWatch,20150412,2015,04,12,45.0021,-1.19474,45.0021,-1.19374,FR,78,meters,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0
92,Marine LitterWatch,20150610,2015,06,10,-22.2463,166.442,-22.2463,166.44299999999998,Int,181,meters,705.0,135.0,0.0,20.0,0.0,200.0,350.0,0.0,0
93,Marine LitterWatch,20180425,2018,04,25,0.00036190800000000003,0.000150708,0.00036190800000000003,0.000150717,IT,100,meters,329.0,232.0,7.0,8.0,45.0,23.0,14.0,0.0,0
94,Marine LitterWatch,20150928,2015,09,28,43.31267968,-2.382404813,43.31260121,-2.3820636000000004,ES,29,meters,359.0,350.0,6.0,0.0,0.0,3.0,0.0,0.0,0
95,Marine LitterWatch,20170425,2017,04,25,40.831579999999995,14.100010000000001,40.831579999999995,14.10101,IT,100,meters,849.0,656.0,29.0,46.0,73.0,45.0,0.0,0.0,0
96,Marine LitterWatch,20140510,2014,05,10,37.82051021,23.81237657,37.82080081,23.81450437,GR,193,meters,1090.0,1086.0,0.0,0.0,0.0,0.0,4.0,0.0,0
97,Marine LitterWatch,20150413,2015,04,13,44.0462,28.64498,44.0453,28.645359999999997,RO,105,meters,226.0,160.0,2.0,3.0,35.0,7.0,19.0,0.0,0
98,Marine LitterWatch,20150417,2015,04,17,43.3321,-1.94793,43.3321,-1.9469299999999998,ES,81,meters,234.0,109.0,6.0,0.0,0.0,4.0,115.0,0.0,0
99,Marine LitterWatch,20150424,2015,04,24,55.84143681,8.163800428,55.84054878,8.164009136,DK,100,meters,191.0,164.0,0.0,9.0,8.0,4.0,6.0,0.0,0
100,Marine LitterWatch,20171115,2017,11,15,47.52088875,9.431144031,47.52098032,9.431524898,CH,30,meters,34.0,26.0,2.0,0.0,2.0,4.0,0.0,0.0,0
101,Marine LitterWatch,20150629,2015,06,29,43.80922106,28.5891891,43.82778026,28.59271215,RO,2081,meters,247.0,234.0,13.0,0.0,0.0,0.0,0.0,0.0,0
102,Marine LitterWatch,20170928,2017,09,28,47.58940625,7.587318067999999,47.58973545,7.587464405,DE,38,meters,133.0,112.0,0.0,0.0,14.0,7.0,0.0,0.0,0
103,Marine LitterWatch,20180418,2018,04,18,55.67006725,12.09103274,55.67087199,12.09031659,DK,100,meters,1506.0,1331.0,6.0,22.0,121.0,2.0,15.0,9.0,0
104,Marine LitterWatch,20171019,2017,10,19,47.49361003,8.961592821,47.493684,8.961466495,CH,13,meters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
105,Marine LitterWatch,20140408,2014,04,08,44.28098,28.622359999999997,44.28002,28.622220000000002,RO,107,meters,855.0,612.0,74.0,29.0,45.0,75.0,20.0,0.0,0
106,Marine LitterWatch,20140508,2014,05,08,55.19362134,9.60575953,55.19341463,9.607949174,DK,140,meters,29.0,26.0,1.0,0.0,0.0,0.0,2.0,0.0,0
107,Marine LitterWatch,20180202,2018,02,02,47.16922077,7.558994821000001,47.16909278,7.558936715,CH,15,meters,15.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0
108,Marine LitterWatch,20150531,2015,05,31,43.4048,5.053730000000001,43.4048,5.05473,FR,81,meters,533.0,254.0,8.0,0.0,0.0,121.0,150.0,0.0,0
109,Marine LitterWatch,20170422,2017,04,22,47.55774291,7.617291605,47.55737978,7.617696603,DE,50,meters,372.0,229.0,15.0,6.0,25.0,65.0,32.0,0.0,0
110,Marine LitterWatch,20180915,2018,09,15,45.52614743,13.58521674,45.52608729999999,13.58383272,SI,108,meters,575.0,415.0,10.0,6.0,39.0,52.0,53.0,0.0,0
111,Marine LitterWatch,20160831,2016,08,31,45.51779833,13.5683641,45.51867746,13.56802802,SI,101,meters,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
112,Marine LitterWatch,20171124,2017,11,24,47.58940625,7.587318067999999,47.58973545,7.587464405,DE,38,meters,62.0,42.0,0.0,0.0,12.0,5.0,3.0,0.0,0
113,Marine LitterWatch,20170602,2017,06,02,47.19540185,8.540236952999999,47.19529442,8.540653772,CH,34,meters,29.0,25.0,0.0,1.0,0.0,1.0,1.0,1.0,0
114,Marine LitterWatch,20170817,2017,08,17,47.40002469,8.484684678999999,47.40047043,8.484395636,CH,54,meters,65.0,26.0,2.0,1.0,9.0,19.0,8.0,0.0,0
115,Marine LitterWatch,20160618,2016,06,18,51.55125138,-8.955702446,51.55235108,-8.956763581,IE,142,meters,52.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0
116,Marine LitterWatch,20170929,2017,09,29,47.45456979,8.779680032,47.45497142,8.780936622,CH,104,meters,13.0,10.0,0.0,0.0,0.0,2.0,1.0,0.0,0
117,Marine LitterWatch,20170413,2017,04,13,47.32543607,8.519119455,47.32629067,8.519485579,CH,99,meters,35.0,7.0,1.0,0.0,20.0,5.0,2.0,0.0,0
118,Marine LitterWatch,20180120,2018,01,20,47.41030895,8.112553668,47.41063741,8.112171449,CH,46,meters,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119,Marine LitterWatch,20170727,2017,07,27,47.4034956,8.477770133,47.40364429,8.478190512000001,CH,35,meters,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
120,Marine LitterWatch,20160617,2016,06,17,53.78804454,-6.234836672999999,53.78884058,-6.2337250079999995,IE,114,meters,96.0,85.0,6.0,3.0,0.0,2.0,0.0,0.0,0
121,Marine LitterWatch,20180325,2018,03,25,46.704436799999996,7.657882391,46.70428087,7.658185572000001,CH,29,meters,11.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0
122,Marine LitterWatch,20170423,2017,04,23,47.40940032,8.446933417999999,47.40940959,8.447313214,CH,28,meters,34.0,23.0,0.0,0.0,8.0,2.0,1.0,0.0,0
123,Marine LitterWatch,20170430,2017,04,30,47.05711183,8.287914508,47.05698005,8.287949971,CH,14,meters,123.0,70.0,7.0,0.0,4.0,19.0,22.0,1.0,0
124,Marine LitterWatch,20171130,2017,11,30,47.38189811,8.53832789,47.38161864,8.538454926,CH,32,meters,45.0,25.0,0.0,0.0,1.0,9.0,6.0,4.0,0
125,Marine LitterWatch,20150912,2015,09,12,43.1006,6.17129,43.1006,6.17229,FR,81,meters,1289.0,1073.0,3.0,1.0,0.0,159.0,53.0,0.0,0
126,Marine LitterWatch,20170529,2017,05,29,45.53593545,13.60225756,45.53680532,13.60188741,SI,101,meters,645.0,589.0,8.0,4.0,21.0,4.0,19.0,0.0,0
127,Marine LitterWatch,20180914,2018,09,14,38.69961573,-9.252582467,38.69938547,-9.251053607000001,,135,meters,3730.0,3110.0,103.0,9.0,243.0,21.0,239.0,5.0,0
128,Marine LitterWatch,20171212,2017,12,12,47.34588993,8.536154524,47.34633013,8.536054832,CH,50,meters,78.0,36.0,0.0,1.0,8.0,27.0,6.0,0.0,0
129,Marine LitterWatch,20131021,2013,10,21,55.53720578,12.23460793,55.53401551,12.23167951,DK,399,meters,97.0,74.0,0.0,1.0,19.0,3.0,0.0,0.0,0
130,Marine LitterWatch,20170623,2017,06,23,47.49361003,8.961592821,47.493684,8.961466495,CH,13,meters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
131,Marine LitterWatch,20171031,2017,10,31,46.17849118,6.154318667,46.17828964,6.154981567999999,CH,56,meters,40.0,37.0,0.0,1.0,2.0,0.0,0.0,0.0,0
132,Marine LitterWatch,20171019,2017,10,19,47.04453213,8.418568937,47.04472764,8.418664934,CH,23,meters,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0
133,Marine LitterWatch,20180428,2018,04,28,0.000329388,0.000135244,0.000329388,0.000135253,IT,100,meters,311.0,273.0,0.0,1.0,31.0,4.0,0.0,2.0,0
134,Marine LitterWatch,20170929,2017,09,29,47.03839843,7.108311404,47.03861686,7.107976582,CH,35,meters,57.0,37.0,0.0,1.0,0.0,1.0,17.0,1.0,0
135,Marine LitterWatch,20161002,2016,10,02,37.382319,22.775938,37.382319,22.776938,GR,90,meters,126.0,116.0,1.0,3.0,4.0,2.0,0.0,0.0,0
136,Marine LitterWatch,20170820,2017,08,20,46.800876,10.319994,46.801536999999996,10.320025999999999,CH,74,meters,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0
137,Marine LitterWatch,20181110,2018,11,10,-3.8252149189999995,-38.40005082,-3.9026265380000003,-38.34464244,,10542,meters,13.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0
138,Marine LitterWatch,20151204,2015,12,04,43.19306946,27.879501300000005,43.185582000000004,27.89060864,BG,1227,meters,773.0,571.0,27.0,0.0,131.0,8.0,34.0,2.0,0
139,Marine LitterWatch,20180325,2018,03,25,47.21954684,8.691961124,47.21951575,8.692141398,CH,14,meters,20.0,15.0,0.0,0.0,2.0,0.0,3.0,0.0,0
140,Marine LitterWatch,20140407,2014,04,07,43.7486,28.57783,43.74774,28.578290000000003,RO,102,meters,618.0,333.0,103.0,40.0,63.0,30.0,49.0,0.0,0
141,Marine LitterWatch,20180213,2018,02,13,46.77424307,7.624537223,46.77423203,7.624330562999999,CH,16,meters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
142,Marine LitterWatch,20170813,2017,08,13,47.41024245,9.320376016,47.41049912,9.320739558,CH,39,meters,45.0,26.0,4.0,0.0,9.0,5.0,1.0,0.0,0
143,Marine LitterWatch,20180228,2018,02,28,47.38189811,8.53832789,47.38161864,8.538454926,CH,32,meters,87.0,39.0,1.0,0.0,17.0,9.0,21.0,0.0,0
144,Marine LitterWatch,20170625,2017,06,25,47.41024245,9.320376016,47.41049912,9.320739558,CH,39,meters,114.0,89.0,3.0,1.0,3.0,15.0,3.0,0.0,0
145,Marine LitterWatch,20150629,2015,06,29,43.82814497,28.59277312,43.80923706,28.58918661,RO,2121,meters,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0
146,Marine LitterWatch,20170412,2017,04,12,47.325098600000004,9.295418846,47.32484209,9.295691383,CH,35,meters,35.0,4.0,0.0,1.0,0.0,19.0,11.0,0.0,0
147,Marine LitterWatch,20180325,2018,03,25,47.27835446,8.394224168,47.27845497,8.394188671,CH,11,meters,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0
148,Marine LitterWatch,20171216,2017,12,16,46.40286928,6.281935828,46.40293208,6.281920386,CH,7,meters,19.0,15.0,0.0,0.0,2.0,1.0,1.0,0.0,0
149,Marine LitterWatch,20180228,2018,02,28,47.54604972,7.62259813,47.54629724,7.622613867999999,CH,28,meters,14.0,3.0,0.0,0.0,1.0,3.0,7.0,0.0,0
150,Marine LitterWatch,20130823,2013,08,23,45.53773844,13.61093245,45.53828206,13.61198468,SI,102,meters,132.0,120.0,0.0,1.0,0.0,4.0,6.0,1.0,0
