Survey Type,Organization,Date,Survey Year,Country,State,County,Survey ID,MDMAP ID #,Shoreline Name,Latitude Start,Longitude Start,Latitude End,Longitude End,Slope,Width,Length,Start Time,End Time,Time of Low Tide,Database Season,Season,Date of Previous Survey,Days since last survey,Storm Activity,Current Weather,Number of Persons Assisting,Large Items?,Debris Behind Back Barrier?,Datasheet Version,Notes,Photos?,Plastic,Plastic - Flux,Hard Plastic Fragments,Hard Plastic Fragments - Flux,Foamed Plastic Fragments,Foamed Plastic Fragments - Flux,Filmed Plastic Fragments,Filmed Plastic Fragments - Flux,Food Wrappers,Food Wrappers - Flux,Plastic Beverage Bottles,Plastic Beverage Bottles - Flux,Other Jugs/Containers,Other Jugs/Containers - Flux,Bottle/Container Caps,Bottle/Container Caps - Flux,Cigar Tips,Cigar Tips - Flux,Cigarettes,Cigarettes - Flux,Disposable Cigarette Lighters,Disposable Cigarette Lighters - Flux,6-Pack Rings,6-Pack Rings - Flux,Bags,Bags - Flux,Plastic Rope/Net,Plastic Rope/Net - Flux,Buoys & Floats,Buoys & Floats - Flux,Fishing Lures & Line,Fishing Lures & Line - Flux,Cups,Cups - Flux,Plastic Utensils,Plastic Utensils - Flux,Straws,Straws - Flux,Balloons Mylar,Balloons Mylar - Flux,Personal Care Products,Personal Care Products - Flux,Plastic Other,Plastic Other - Flux,Metal,Metal - Flux,Aluminum/Tin Cans,Aluminum/Tin Cans - Flux,Aerosol Cans,Aerosol Cans - Flux,Metal Fragments,Metal Fragments - Flux,Metal Other,Metal Other - Flux,Glass,Glass - Flux,Glass Beverage Bottles,Glass Beverage Bottles - Flux,Jars,Jars - Flux,Glass Fragments,Glass Fragments - Flux,Glass Other,Glass Other - Flux,Rubber,Rubber - Flux,Flip Flops,Flip Flops - Flux,Rubber Gloves,Rubber Gloves - Flux,Tires,Tires - Flux,Balloons Latex,Balloons Latex - Flux,Rubber Fragments,Rubber Fragments - Flux,Rubber Other,Rubber Other - Flux,Processed Lumber,Processed Lumber - Flux,Cardboard Cartons,Cardboard Cartons - Flux,Paper and Cardboard,Paper and Cardboard - Flux,Paper Bags,Paper Bags - Flux,Lumber/Building Material,Lumber/Building Material - Flux,Processed Lumber Other,Processed Lumber Other - Flux,Cloth/Fabric,Cloth/Fabric - Flux,Clothing & Shoes,Clothing & Shoes - Flux,Gloves (non-rubber),Gloves (non-rubber) - Flux,Towels/Rags,Towels/Rags - Flux,Rope/Net Pieces (non-nylon),Rope/Net Pieces (non-nylon) - Flux,Fabric Pieces,Fabric Pieces - Flux,Cloth/Fabric Other,Cloth/Fabric Other - Flux,Unclassified,Unclassified - Flux,Total Debris,Total Debris - Flux,Debris Description,UniqueId,TotalArea
Accumulation,Redfish Rocks,05-08-2012,Year 1,United States,OR,Curry,63,11,Rocky Point,42.7149,-124.4621,42.7139,-124.462,,36.0,102.0,10:30 AM,11:30 AM,,Spring,Spring,05-08-2012,0,No rain in the last week,100% sunny; wind SW 20mph,16,no,,1.0,no,Yes,43,N/a,3,N/a,30,N/a,0,N/a,0,N/a,7,N/a,0,N/a,0,N/a,0,N/a,0,N/a,1,N/a,0,N/a,0,N/a,1,N/a,0,N/a,0,N/a,1,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,2,N/a,0,N/a,1,N/a,1,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,6,N/a,5,N/a,0,N/a,0,N/a,,,1,N/a,0,N/a,4,N/a,0,N/a,0,N/a,0,N/a,4,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,55,N/a,"Went well for our first try at this.  It was fun to do with the 8th graders, but also proved a little chaotic!  Nice day! Plastic and foam was the order of the day.  Quite a few flip flops as well, for such a small section.",63_05-08-2012,3672.0
Accumulation,Redfish Rocks,06-08-2012,Year 1,United States,OR,Curry,64,11,Rocky Point,42.7149,-124.4621,42.7139,-124.462,,37.0,102.0,09:30 AM,10:30 AM,,Summer,Spring,05-08-2012,31,Rain 2 days before this survey was taken. +20 Mph winds,Sunny; N wind 11mph,9,yes,,1.0,No evidence of other clean ups.,Yes,270,0.0023078106569568,25,0.00021368617194044,232,0.0019830076756073,0,0,0,0,3,2.5642340632853E-5,1,8.5474468776177E-6,1,8.5474468776177E-6,0,0,2,1.7094893755235E-5,1,8.5474468776177E-6,0,0,0,0,3,2.5642340632853E-5,1,8.5474468776177E-6,0,0,0,0,0,0,1,8.5474468776177E-6,0,0,0,0,0,0,3,2.5642340632853E-5,0,0,0,0,2,1.7094893755235E-5,1,8.5474468776177E-6,0,0,0,0,0,0,0,0,0,0,4,3.4189787510471E-5,1,8.5474468776177E-6,0,0,1,8.5474468776177E-6,,,2,1.7094893755235E-5,0,0,2,1.7094893755235E-5,0,0,0,0,0,0,2,1.7094893755235E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0.0023847376788553,This survey was more thorough as we had a good group of adult volunteers.  You will notice the difference by comparing this survey to the month before.  A good group of people indeed!,64_06-08-2012,3774.0
Accumulation,Redfish Rocks,07-09-2012,Year 1,United States,OR,Curry,65,11,Rocky Point,42.7149,-124.4621,42.7139,-124.462,,36.0,102.0,09:30 AM,10:00 AM,,Summer,Summer,06-08-2012,31,None,Sunny; N wind 15mph,3,no,,1.0,None,No,35,0.0003074706585143,0,0,32,0.00028111603064165,0,0,0,0,1,8.7848759575515E-6,0,0,1,8.7848759575515E-6,0,0,1,8.7848759575515E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.7569751915103E-5,0,0,0,0,0,0,,,2,1.7569751915103E-5,0,0,1,8.7848759575515E-6,0,0,0,0,0,0,1,8.7848759575515E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0.00033382528638696,,65_07-09-2012,3672.0
Accumulation,Redfish Rocks,08-13-2012,Year 1,United States,OR,Curry,66,11,Rocky Point,42.7149,-124.4621,42.7139,-124.462,,37.0,102.0,03:30 PM,04:00 PM,,Summer,Summer,07-09-2012,35,none,Sunny; N wind 17 mph,4,yes,,1.0,"None. only 2 pieces of trash, lots of sand built up on the beach",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5705958058899E-6,0,0,0,0,1,7.5705958058899E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5705958058899E-6,"only 2 pieces of trash, lots of sand built up on the beach.  Summer seems to be a time when the sand comes in, but the trash does not.  We will see what the winter brings!",66_08-13-2012,3774.0
Accumulation,Redfish Rocks,09-10-2012,Year 1,United States,OR,Curry,67,11,Rocky Point,42.7149,-124.4621,42.7139,-124.462,,36.0,102.0,01:30 PM,02:00 PM,,Fall,Summer,08-13-2012,28,None.,"Mostly Sunny, 40% cloud cover; N wind <10mph",5,no,,1.0,Beautiful day.  No issues.,Yes,9,8.7535014005602E-5,1,9.7261126672891E-6,5,4.8630563336446E-5,0,0,0,0,0,0,0,0,1,9.7261126672891E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.7261126672891E-6,1,9.7261126672891E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,7,6.8082788671024E-5,0,0,0,0,0,0,7,6.8082788671024E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.00015561780267663,,67_09-10-2012,3672.0
Accumulation,Redfish Rocks,10-10-2012,Year 1,United States,OR,Curry,68,11,Rocky Point,42.7149,-124.4621,42.7139,-124.462,,36.0,102.0,02:30 PM,03:00 PM,,Fall,Fall,09-10-2012,30,No rain in the last week.  Higher winds of ~30mph,100% sunny; N wind 15mph,2,no,,1.0,,No,8,7.2621641249092E-5,0,0,1,9.0777051561365E-6,0,0,0,0,2,1.8155410312273E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.5388525780683E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,2.723311546841E-5,0,0,2,1.8155410312273E-5,0,0,1,9.0777051561365E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9.9854756717502E-5,,68_10-10-2012,3672.0
Accumulation,Redfish Rocks,11-12-2012,Year 1,United States,OR,Curry,69,11,Rocky Point,42.7149,-124.4621,42.7139,-124.462,,37.0,102.0,03:00 PM,03:30 PM,,Fall,Fall,10-10-2012,33,"Rain for the 2 day before, winds of >20mph","100% cloudy, light rain, wind 15mph",7,no,,1.0,No issues to report.  Just glad we got it in during a good window in the weather.,Yes,44,0.00035329447094153,1,8.0294197941257E-6,40,0.00032117679176503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0294197941257E-6,1,8.0294197941257E-6,0,0,0,0,0,0,0,0,0,0,1,8.0294197941257E-6,0,0,1,8.0294197941257E-6,1,8.0294197941257E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.4088259382377E-5,2,1.6058839588251E-5,0,0,0,0,,,1,8.0294197941257E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.00038541215011803,,69_11-12-2012,3774.0
Accumulation,Sonoma Coast Surfrider,11-02-2012,Year 1,United States,CA,Sonoma County,99,30,Portuguese Beach,38.3782,-123.0813,38.379129999999996,-123.0812,,10.0,100.0,09:00 AM,10:00 AM,,Fall,Fall,08-24-2011,436,Rain on 10-31-2012,Sun/no wind,3,no,,1.0,,No,78,0.00017889908256881,9,2.0642201834862E-5,21,4.8165137614679E-5,9,2.0642201834862E-5,9,2.0642201834862E-5,1,2.2935779816514E-6,0,0,3,6.8807339449541E-6,0,0,15,3.4403669724771E-5,0,0,0,0,0,0,1,2.2935779816514E-6,0,0,0,0,6,1.3761467889908E-5,0,0,0,0,0,0,0,0,4,9.1743119266055E-6,2,4.5871559633028E-6,1,2.2935779816514E-6,0,0,1,2.2935779816514E-6,0,0,1,2.2935779816514E-6,0,0,0,0,1,2.2935779816514E-6,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,8,1.8348623853211E-5,0,0,5,1.1467889908257E-5,0,0,0,0,3,6.8807339449541E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.5871559633028E-6,91,0.00020871559633028,several wooden poles and cork pieces found,99_11-02-2012,1000.0
Accumulation,Sonoma Coast Surfrider,07-05-2012,Year 1,United States,CA,Sonoma County,100,25,South Salmon Creek Beach,38.335233,-123.06871699999999,38.33351833333333,-123.06826666666667,,41.0,100.0,11:30 AM,01:00 PM,,Summer,Summer,06-16-2012,19,none,warm/windy,6,no,,1.0,,Yes,120,0.0015404364569961,49,0.00062901155327343,12,0.00015404364569961,8,0.00010269576379974,8,0.00010269576379974,6,7.7021822849807E-5,0,0,12,0.00015404364569961,2,2.5673940949936E-5,5,6.418485237484E-5,2,2.5673940949936E-5,0,0,0,0,3,3.8510911424904E-5,0,0,2,2.5673940949936E-5,2,2.5673940949936E-5,0,0,0,0,2,2.5673940949936E-5,2,2.5673940949936E-5,5,6.418485237484E-5,1,1.2836970474968E-5,1,1.2836970474968E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.00015404364569961,0,0,0,0,0,0,,,12,0.00015404364569961,0,0,7,8.9858793324775E-5,0,0,7,8.9858793324775E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0.0017971758664955,Other plastic Items included several toys and agricultural ties,100_07-05-2012,4100.0
Accumulation,Sonoma Coast Surfrider,08-24-2012,Year 1,United States,CA,Sonoma County,101,30,Portuguese Beach,38.3782,-123.0813,38.379129999999996,-123.0812,,20.0,100.0,01:00 PM,03:00 PM,,Summer,Summer,08-24-2012,0,none,foggy,2,no,,1.0,,No,82,N/a,0,N/a,5,N/a,3,N/a,20,N/a,1,N/a,0,N/a,11,N/a,0,N/a,23,N/a,0,N/a,0,N/a,2,N/a,8,N/a,0,N/a,0,N/a,0,N/a,3,N/a,2,N/a,0,N/a,2,N/a,2,N/a,2,N/a,1,N/a,0,N/a,0,N/a,1,N/a,4,N/a,0,N/a,0,N/a,4,N/a,0,N/a,10,N/a,0,N/a,0,N/a,0,N/a,,,10,N/a,0,N/a,4,N/a,0,N/a,4,N/a,0,N/a,0,N/a,0,N/a,1,N/a,1,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,103,N/a,one other metal debris was abandoned propane tank other plastic debris included children's toys,101_08-24-2012,2000.0
Accumulation,Sonoma Coast Surfrider,07-24-2012,Year 1,United States,CA,Sonoma,124,24,"Doran Beach, Bodega Bay",38.310367,-123.025117,38.310867,-123.02608300000001,,30.0,100.0,09:15 AM,10:30 AM,,Summer,Summer,07-24-2012,0,none,100% cloud cover,2,no,,1.0,"Photo ID #s: MDP1-2663
MDP1-2385",Yes,46,N/a,7,N/a,9,N/a,3,N/a,7,N/a,0,N/a,0,N/a,4,N/a,1,N/a,8,N/a,0,N/a,0,N/a,2,N/a,2,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,2,N/a,1,N/a,0,N/a,1,N/a,0,N/a,0,N/a,0,N/a,1,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,,,0,N/a,0,N/a,1,N/a,0,N/a,0,N/a,1,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,1,N/a,49,N/a,,124_07-24-2012,3000.0
